name,astd_pts,avg_dist,fg2_dunk,fg2_pct,fg3_pct_corner,fg3_per_g,fg_pct,ft_per_g,fta_per_fga_pct,own_shots_blk,pts_per_g,stl_per_g,trb_per_g,ts_pct,usg_pct,block_rate,versatility,finish_through_contact,shot_distribution,charge_draw_rate,assist_turnover_ratio,shot_selection,iso_effectiveness,off_def_rebound,efficient_shot_taker,ft_pct,net_offensive_bpm
Klay Thompson,-0.549724277942913,0.9421832539892405,-0.43616596909881755,0.017973129775246864,0.8186415447370277,1.675451329438577,0.10635300287186727,-0.4697638339342833,-1.197722057344172,-0.5330528836360389,1.4544803862267395,0.11609522459969919,-0.8823733575974695,0.3209510384108623,1.21404088190546,0.5001076339020096,0.04753446808088962,-1.187949480597619,-0.6625407965677104,-0.32253709202811087,-0.16281157306646246,0.6281872369628132,0.1290356175880551,-0.8974413743480298,0.9298573484008283,0.816,1.3030647139908575
Draymond Green,2.1221738761912867,0.007430370444678217,-0.3020586934451857,0.5415693942002602,0.7786911747623586,-0.8404335679923155,-0.23676099313728607,-0.9253903962163903,-0.30486669148542134,-1.2546534988689353,-1.5654938246893364,1.1988748379967282,0.5181701999123545,-0.6306123418022442,-1.1619568635309223,0.9284246847375257,1.1128412927881222,0.8830110847715313,-0.31864426516866395,0.335981401504299,-0.22401940687343383,-0.2503136304210906,-1.010084362784937,-0.9386498868777003,-0.9517242292851866,0.6920000000000001,-1.6874371255732497
Jordan Bell,-0.021584077503470713,-1.1447069046218759,0.9484160744024698,0.09730589711237035,0.0,-1.6581047486403455,0.870561448528617,-0.8614330514956795,-0.32220368888073714,-0.6514039836144483,-1.1989072169186432,-0.45181620460380173,0.5127713367800374,-0.5248830773341213,-1.0479089717499759,1.6237217760458353,-0.4235587270527155,-0.08096544437728057,-0.10935848228440789,1.4823626204721916,0.3522496000379733,-1.1312228891940048,-1.1769172624510722,0.8574835502238005,-1.3155769368339312,0.61,-2.0986311285133143
Stephen Curry,0.9606816649307556,1.376952037033223,-0.8143791743415763,0.16077211098206914,1.2740757624482537,3.8585837791214908,0.18433345651031122,1.10592580594618,-0.32220368888073714,-0.4950206055086245,2.7918853286060283,0.6505599470352055,-0.3630302486214376,1.801160740964579,2.12642401615303,-0.1664481828469955,-1.1607955766323623,0.5386847105777068,0.6997570480550477,0.4597429433713564,-0.4957882785729975,-0.38144110679611754,0.5073253243686553,-0.8854170059503147,1.0985669561832183,0.9159999999999999,3.508559820669386
Andre Iguodala,0.6508424867559027,0.33350695772766514,1.0851703817331415,2.1758244013450043,0.39516762300553665,-0.5549535437143394,0.6210239968855964,-1.079027061252011,-0.25285569929947493,-1.8548109945510787,-1.4948024817008905,0.6795698457625473,-0.3321507434276312,0.6592846847088557,-1.6751723765451805,2.015090590606878,1.400856109220946,-0.008091887133935242,0.20313311854766644,0.12754445048351207,1.4087563772470812,-0.9802928494535917,-0.05264066982448771,-0.34485484442635356,0.6851440569421252,0.5820000000000001,-0.45385511675305545
Shaun Livingston,0.38552925463988674,-0.9925378305564817,0.2102980753973238,0.14490555751464446,0.0,-1.6581047486403455,0.9173497207116834,-0.7288592177368551,-0.07081722664866182,-0.9235907260351397,-1.3482700952413962,0.18255919670536552,-0.7965781120186016,-0.017382607887131144,-1.3710446651293238,1.0698456469722883,0.8664799228611022,0.4544122895038289,-0.15540941074408418,-0.9785072614719826,0.5052323333782183,-0.5074025630854434,1.2582538265086207,1.8968882371877187,-1.423958793520626,0.784,-0.7902865737040173
Quinn Cook,0.10320533583245049,0.8987063756848425,-0.8332004124317923,0.0021065763078221673,0.6508499908434178,1.154324696885296,0.0751608214164897,-1.20227961223287,-1.6658209870176914,-0.23195214053930133,0.3116070718298927,-0.8790528949519338,-0.47777902463166805,0.1940759210491124,0.18760985587694268,-1.4718729629664744,-1.2775841311078235,2.233637540447063,-0.5284806054135659,-1.1776454633966373,-0.055064578789486354,0.5388330097000948,0.7880459594373334,-0.7718535266385581,0.4381975938952438,0.769,1.041395803028998
DeMarcus Cousins,0.7305984030707435,-0.7099381215778933,0.47557136153805885,0.5733025011351113,-2.856792492932517,-0.37773803608587053,0.3091021823318207,1.7056682620498327,1.1861150845117145,2.2500725636823575,1.4688834669417072,1.7111708748255092,1.5079576551020013,0.13063836236824097,1.6892404309927365,1.3529815027203265,-1.2775841311078235,0.05413347909668373,-0.3431942932111993,1.7587193065347366,0.18053298062021875,-0.5825675226188824,-0.4228664136728439,-0.5206778312196144,-1.231706088960438,0.736,-1.089336757660428
Kevin Durant,1.3211203190581589,0.33350695772766514,1.0178147180883714,1.1444984259624005,-0.9951052521129434,0.2439429110504061,0.948541902167061,2.426374702857211,0.9954081131632438,-0.6404211259410848,2.36285839165482,-0.9444814211409788,-0.03825231158388947,1.5897022120283353,1.8603122686641558,1.8728063513819653,0.8814166181828126,-0.28795858169724037,-1.3474271376829243,0.3478755702615009,-0.17267061192082395,0.4372436287737225,0.6405864997189413,-1.4051142841566575,-0.8914552469078766,0.885,1.6394961709418197
Kevon Looney,-0.2235400039502939,-1.8838138357966459,2.277260174179173,2.0012923132033307,-2.856792492932517,-1.6581047486403455,2.5705353378466933,-0.640310490229786,0.44929269521080434,0.011912690821079312,-0.7713252306927649,0.12305022098774823,1.0699631950791486,1.6954314764964582,-1.2189808094213952,-0.047329696351451775,-0.6743463859585443,0.4905649070846779,1.7621112543825297,-0.8316100831719554,2.9169845553542664,-2.2632619998731185,0.13820771766310166,3.6506328248449855,-1.0316782238474536,0.619,0.14424525115976594
